auction_date,made_on_utc,p_up,signal,spot_avg,model,git_sha,hash
2026-07-10,2026-07-16T04:57:45Z,0.5297,+0.0595,2751.66,champion-physics-gbm,5d24154,791471aa6b795107
2026-07-11,2026-07-16T04:57:45Z,0.5297,+0.0595,2785.83,champion-physics-gbm,5d24154,6c8ad900933a6ca3
2026-07-13,2026-07-16T04:57:45Z,0.5297,+0.0595,2768.99,champion-physics-gbm,5d24154,cfec89d72b06f24c
2026-07-14,2026-07-16T04:57:45Z,0.5297,+0.0595,2790.03,champion-physics-gbm,5d24154,7e2285403f31da77
2026-07-15,2026-07-16T04:57:45Z,0.5297,+0.0595,2841.36,champion-physics-gbm,5d24154,0464dcea3b26ba0c
2026-07-16,2026-07-19T23:47:25Z,0.5489,+0.0979,2878.47,champion-physics-gbm,8570346,f41788b3dc4cef0f
2026-07-17,2026-07-19T23:47:25Z,0.5489,+0.0979,3034.80,champion-physics-gbm,8570346,330596dac9154898
2026-07-18,2026-07-19T23:47:25Z,0.5197,+0.0395,3016.17,champion-physics-gbm,8570346,a04dcaa07c4d521b
2026-07-24,2026-07-29T13:41:53Z,0.5408,+0.0815,3137.41,champion-physics-gbm,a2d9a5c,36bb6c766b5bc0a9
2026-07-25,2026-07-29T13:41:53Z,0.5408,+0.0815,3182.22,champion-physics-gbm,a2d9a5c,0992fc9aeffe8230
2026-07-27,2026-07-29T13:41:53Z,0.5408,+0.0815,3227.81,champion-physics-gbm,a2d9a5c,8b271409a1da78d9
2026-07-28,2026-07-29T13:41:53Z,0.5408,+0.0815,3160.43,champion-physics-gbm,a2d9a5c,067dddfb70689eae
2026-07-29,2026-07-29T13:41:53Z,0.5408,+0.0815,3232.61,champion-physics-gbm,a2d9a5c,9a1b54424dd4a345
