date,spot_avg,spot_max,qty_arrived,qty_sold,n_sessions,oni,oni_elnino,oni_lanina,dmi,days_to_ramadan,ramadan_stocking
2026-06-19,2762.61,3466.0,39549.4,38645.3,1,,0.0,0.0,,234.0,0.0
2026-06-20,2847.9316723612424,3556.0,117796.6,114963.2,2,,0.0,0.0,,233.0,0.0
2026-06-22,2946.581234236174,4207.0,97398.0,93338.7,2,,0.0,0.0,,231.0,0.0
2026-06-23,2904.610994486098,3819.0,70158.5,66540.9,2,,0.0,0.0,,230.0,0.0
2026-06-24,2798.005225010855,3933.0,125420.0,122294.1,2,,0.0,0.0,,229.0,0.0
2026-06-25,2789.611055922515,3587.0,76172.4,69505.1,2,,0.0,0.0,,228.0,0.0
2026-06-27,2874.5218925875347,3673.0,128727.5,126890.3,2,,0.0,0.0,,226.0,0.0
2026-06-29,2907.0346492048648,4022.0,124927.29999999999,118231.4,2,,0.0,0.0,,224.0,0.0
2026-06-30,2852.9801098231815,3673.0,48219.2,46301.7,2,,0.0,0.0,,223.0,0.0
2026-07-01,2849.0450309803787,3650.0,123440.4,115799.1,2,,0.0,0.0,,222.0,0.0
2026-07-02,3005.35,3672.0,63153.5,62447.5,1,,0.0,0.0,,221.0,0.0
