year,azucar_mm_qq,banano_mm_qq,cafe_mm_qq,cardamomo_mm_qq
1994,15.2732518518519,12.544201278659601,4.14059358465608,0.293296825396825
1995,19.112448214285703,14.0102174603175,4.5592666666666695,0.306935802469135
1996,17.5528642636684,13.474059700176399,5.3228063712522,0.478178703703703
1997,23.484857870370398,14.536860515873,5.50989384920635,0.47209949294532605
1998,29.5921395061728,17.50969664903,4.6984697751322795,0.38458428130511396
1999,25.2538859126984,13.7474132495591,5.93637107583774,0.291792195767195
2000,27.9273938492064,17.670072619047602,6.428548478835981,0.316108421516754
2001,24.9172015873016,19.2643069003527,5.44627645502646,0.33211931216931195
2002,29.9830279761905,21.5033281746032,4.57325806878307,0.422352843915343
2003,30.5663821428571,20.637438844797202,5.50899193121693,0.630840189594356
2004,25.4540360670194,23.3280580687831,4.59633187830688,0.62982156084656
2005,28.380093253968298,24.875372839506202,4.4517833333333305,0.663697486772486
2006,29.3683647707231,23.0263367283951,4.44800057319224,0.687101917989417
2007,28.5514004850088,31.035583641975297,5.0842423059964705,0.6160942901234561
2008,28.5920641534392,30.6696203483245,5.07130024250441,0.484161596119929
2009,35.0814204585538,32.610641776895896,5.15909781746032,0.5223343474426799
2010,38.4346640652557,30.182626102292797,4.7295686507936505,0.488694246031746
2011,28.4372894620811,35.335458686067,5.14748179012346,0.510730180776014
2012,33.747025176362,36.606648765426,4.999040850964,0.793476587297
2013,42.554852711633,41.561119157841,4.774744466484,0.855895392411
2014,46.661725727507,43.222009810399,4.045329739855,0.856568871246
2015,47.132666688706,47.410603659606,3.95169512786,0.737004982358
2016,45.803293628741,47.498380158726,4.006940145496,0.786326124332
2017,41.961675022041,51.992317416219,4.484332848318,0.785205092586
2018,36.600534876537,52.350263139322,4.53636294091,0.808192614632
2019,44.735241732797,53.015255731916,4.762705731918,0.798945634912
2020,36.548104894174,52.154384567895,4.149309391528,0.828389748669
2021,29.034168827155,51.556695414456,4.971253350964,0.725059589941
2022,37.675537323626,54.547649735443,4.25914464285,1.168968562604
2023,25.52122114197,56.431238756608,4.01161677689,1.142516049377
2024,28.466179343027,55.266087455903,4.173030798055,0.6285332231
2025,39.240769334209,59.209401763662,3.759921913574,0.365923809517
