date,forecast_5d_precip_mm,source,fetched_at_utc
20141107,40.032,reforecast,2026-08-04T18:53:52.911769+00:00
20150114,0.389,reforecast,2026-08-04T18:53:55.332846+00:00
20150501,41.963,reforecast,2026-08-04T18:53:57.965118+00:00
20150502,55.847,reforecast,2026-08-04T18:54:00.386398+00:00
20150504,92.246,reforecast,2026-08-04T18:54:02.901506+00:00
20150505,71.044,reforecast,2026-08-04T18:54:05.180803+00:00
20150506,72.606,reforecast,2026-08-04T18:54:07.973127+00:00
20150507,68.163,reforecast,2026-08-04T18:54:10.293617+00:00
20150508,115.161,reforecast,2026-08-04T18:54:12.694739+00:00
20150509,160.071,reforecast,2026-08-04T18:54:15.172823+00:00
20150511,98.882,reforecast,2026-08-04T18:54:17.600422+00:00
20150512,111.272,reforecast,2026-08-04T18:54:20.006331+00:00
20150513,89.891,reforecast,2026-08-04T18:54:22.360524+00:00
20150514,116.964,reforecast,2026-08-04T18:54:24.693584+00:00
20150515,120.894,reforecast,2026-08-04T18:54:27.083071+00:00
20150516,52.922,reforecast,2026-08-04T18:54:29.404188+00:00
20150518,40.590,reforecast,2026-08-04T18:54:31.696227+00:00
20150519,26.706,reforecast,2026-08-04T18:54:34.125095+00:00
20150520,16.702,reforecast,2026-08-04T18:54:36.456578+00:00
20150521,19.446,reforecast,2026-08-04T18:54:38.805927+00:00
20150522,12.093,reforecast,2026-08-04T18:54:41.209105+00:00
20150523,17.234,reforecast,2026-08-04T18:54:43.876094+00:00
20150525,33.880,reforecast,2026-08-04T18:54:46.790900+00:00
20150526,41.948,reforecast,2026-08-04T18:54:49.704364+00:00
20150527,36.807,reforecast,2026-08-04T18:54:52.313344+00:00
20150528,69.662,reforecast,2026-08-04T18:54:54.933474+00:00
20150529,54.079,reforecast,2026-08-04T18:54:57.428253+00:00
20150530,61.323,reforecast,2026-08-04T18:55:00.294956+00:00
20150601,83.780,reforecast,2026-08-04T18:55:02.762633+00:00
20150602,45.287,reforecast,2026-08-04T18:55:05.380354+00:00
20150603,85.284,reforecast,2026-08-04T18:55:08.120848+00:00
20150604,46.867,reforecast,2026-08-04T18:55:10.567474+00:00
20150605,25.901,reforecast,2026-08-04T18:55:13.500557+00:00
20150606,14.740,reforecast,2026-08-04T18:55:16.334886+00:00
20150608,23.799,reforecast,2026-08-04T18:55:19.246585+00:00
20150609,32.501,reforecast,2026-08-04T18:55:22.065428+00:00
20150610,58.358,reforecast,2026-08-04T18:55:25.059370+00:00
20150611,58.533,reforecast,2026-08-04T18:55:27.595030+00:00
20150612,49.522,reforecast,2026-08-04T18:55:30.083626+00:00
20150613,18.058,reforecast,2026-08-04T18:55:32.894142+00:00
20150615,46.108,reforecast,2026-08-04T18:55:35.583338+00:00
20150616,71.108,reforecast,2026-08-04T18:55:38.529755+00:00
20150617,108.992,reforecast,2026-08-04T18:55:41.089457+00:00
20150618,97.047,reforecast,2026-08-04T18:55:43.732896+00:00
20150619,96.211,reforecast,2026-08-04T18:55:46.288273+00:00
20150620,79.770,reforecast,2026-08-04T18:55:49.011502+00:00
20150622,121.972,reforecast,2026-08-04T18:55:51.448439+00:00
20150623,98.983,reforecast,2026-08-04T18:55:54.056029+00:00
20150624,126.037,reforecast,2026-08-04T18:55:56.439053+00:00
20150625,112.247,reforecast,2026-08-04T18:55:58.809775+00:00
20150626,130.281,reforecast,2026-08-04T18:56:01.227724+00:00
20150627,57.201,reforecast,2026-08-04T18:56:04.076510+00:00
20150629,29.872,reforecast,2026-08-04T18:56:06.612668+00:00
20150630,35.419,reforecast,2026-08-04T18:56:09.031154+00:00
20150701,34.064,reforecast,2026-08-04T18:56:11.522589+00:00
20150702,37.452,reforecast,2026-08-04T18:56:13.880161+00:00
20150703,22.656,reforecast,2026-08-04T18:56:16.300255+00:00
20150704,19.618,reforecast,2026-08-04T18:56:18.727340+00:00
20150706,54.039,reforecast,2026-08-04T18:56:21.122079+00:00
20150707,95.759,reforecast,2026-08-04T18:56:23.816806+00:00
20150708,82.297,reforecast,2026-08-04T18:56:26.297569+00:00
20150709,59.500,reforecast,2026-08-04T18:56:28.642274+00:00
20150710,54.344,reforecast,2026-08-04T18:56:31.094793+00:00
20150711,41.619,reforecast,2026-08-04T18:56:33.496725+00:00
20150713,112.112,reforecast,2026-08-04T18:56:36.000819+00:00
20150714,173.966,reforecast,2026-08-04T18:56:38.418944+00:00
20150715,122.428,reforecast,2026-08-04T18:56:40.872185+00:00
20150716,123.309,reforecast,2026-08-04T18:56:43.394662+00:00
20150717,99.844,reforecast,2026-08-04T18:56:45.839485+00:00
20150720,164.962,reforecast,2026-08-04T18:56:48.306087+00:00
20150721,147.138,reforecast,2026-08-04T18:56:50.933052+00:00
20150722,86.543,reforecast,2026-08-04T18:56:53.445904+00:00
20150723,43.647,reforecast,2026-08-04T18:56:55.975061+00:00
20150724,22.333,reforecast,2026-08-04T18:56:58.441124+00:00
20150725,17.533,reforecast,2026-08-04T18:57:01.118762+00:00
20150727,7.920,reforecast,2026-08-04T18:57:03.549856+00:00
20150728,7.006,reforecast,2026-08-04T18:57:05.900380+00:00
20150729,8.132,reforecast,2026-08-04T18:57:08.225126+00:00
20150730,21.488,reforecast,2026-08-04T18:57:10.715078+00:00
20150731,26.942,reforecast,2026-08-04T18:57:13.054677+00:00
20150801,25.738,reforecast,2026-08-04T18:57:16.076054+00:00
20150803,25.542,reforecast,2026-08-04T18:57:18.420502+00:00
20150804,12.548,reforecast,2026-08-04T18:57:21.052013+00:00
20150805,17.052,reforecast,2026-08-04T18:57:23.595987+00:00
20150806,15.730,reforecast,2026-08-04T18:57:26.380555+00:00
20150807,22.129,reforecast,2026-08-04T18:57:28.752625+00:00
20150808,40.914,reforecast,2026-08-04T18:57:31.191897+00:00
20150810,51.140,reforecast,2026-08-04T18:57:33.535005+00:00
20150811,29.791,reforecast,2026-08-04T18:57:35.917754+00:00
20150812,29.789,reforecast,2026-08-04T18:57:38.251311+00:00
20150813,37.348,reforecast,2026-08-04T18:57:40.650579+00:00
20150814,72.973,reforecast,2026-08-04T18:57:43.288059+00:00
20150817,133.562,reforecast,2026-08-04T18:57:45.678705+00:00
20150818,72.308,reforecast,2026-08-04T18:57:48.260346+00:00
20150819,51.240,reforecast,2026-08-04T18:57:50.635641+00:00
20150820,37.737,reforecast,2026-08-04T18:57:53.005058+00:00
